# Output file from SSolar_GOA model
#   Input Data
#  Ext. Spectrum= Wehrli
# lat=41.66 lon=-4.7 sza=29.358 jday=152
#  p=1013.0 o3=300.0 h2o=1.5 alb=0.2
#  alpha=1.5 beta=0.05 Wa=0.98 g=0.75
# Wavelength Global Direct Diffuse
400 1.06514 0.77937 0.38586
401 1.14554 0.84119 0.41238
402 1.18229 0.87123 0.42294
403 1.18933 0.87947 0.42281
404 1.18439 0.87883 0.41843
405 1.18231 0.88026 0.41510
406 1.18062 0.88195 0.41194
407 1.16956 0.87657 0.40556
408 1.17441 0.88308 0.40474
409 1.19318 0.90010 0.40868
410 1.20780 0.91402 0.41116
411 1.22614 0.93082 0.41486
412 1.23323 0.93912 0.41472
413 1.23740 0.94519 0.41360
414 1.25458 0.96122 0.41680
415 1.25789 0.96665 0.41538
416 1.24818 0.96203 0.40970
417 1.24533 0.96264 0.40632
418 1.25015 0.96916 0.40545
419 1.24696 0.96945 0.40201
420 1.23395 0.96204 0.39546
421 1.23400 0.96477 0.39314
422 1.24135 0.97319 0.39314
423 1.24326 0.97734 0.39143
424 1.23480 0.97331 0.38649
425 1.21556 0.96070 0.37825
426 1.20055 0.95133 0.37140
427 1.16650 0.92675 0.35877
428 1.13359 0.90292 0.34663
429 1.12807 0.90081 0.34295
430 1.12858 0.90348 0.34113
431 1.13684 0.91235 0.34166
432 1.15044 0.92553 0.34377
433 1.18250 0.95364 0.35134
434 1.24277 1.00465 0.36715
435 1.27307 1.03158 0.37397
436 1.27749 1.03759 0.37315
437 1.28720 1.04791 0.37387
438 1.30118 1.06172 0.37581
439 1.32969 1.08744 0.38190
440 1.34340 1.10113 0.38369
441 1.35246 1.11101 0.38413
442 1.37599 1.13283 0.38865
443 1.39424 1.15034 0.39163
444 1.41829 1.17270 0.39620
445 1.44109 1.19409 0.40036
446 1.44715 1.20162 0.39985
447 1.46345 1.21768 0.40215
448 1.48444 1.23769 0.40570
449 1.49945 1.25275 0.40758
450 1.51140 1.26528 0.40862
451 1.51177 1.26811 0.40652
452 1.51110 1.27005 0.40416
453 1.51824 1.27854 0.40390
454 1.51993 1.28243 0.40220
455 1.51159 1.27783 0.39787
456 1.50875 1.27784 0.39502
457 1.51703 1.28725 0.39509
458 1.52569 1.29700 0.39526
459 1.53435 1.30676 0.39542
460 1.53700 1.31138 0.39403
461 1.52972 1.30751 0.39012
462 1.52819 1.30853 0.38771
463 1.52862 1.31120 0.38582
464 1.52384 1.30937 0.38262
465 1.52046 1.30872 0.37981
